,comune,provincia,popolazione,superficie,altitudine,istat,lon,lat
346,Sinagra,Messina,2 760,"24,03",260,83095,14.84952801,38.08323735
347,Siracusa,Siracusa,118 385,"207,78",17,89017,15.2933324,37.05991685
348,Solarino,Siracusa,7 853,"13,02",165,89018,15.11909961,37.10124313
349,Sommatino,Caltanissetta,7 267,"34,76",359,85019,13.99122294,37.33386339
350,Sortino,Siracusa,8 907,"93,33",438,89019,15.0328349,37.16256874
351,Spadafora,Messina,5 091,"10,52",6,83096,15.37413714,38.22207704
352,Sperlinga,Enna,833,"59,14",750,86017,14.35337156,37.76490049
353,Sutera,Caltanissetta,1 436,"35,58",590,85020,13.73130483,37.52558206
354,Taormina,Messina,11 084,"13,13",204,83097,15.28308351,37.85113293
355,Terme Vigliatore,Messina,7 213,"13,23",24,83106,15.16241103,38.13672717
356,Termini Imerese,Palermo,26 201,"78,19",77,82070,13.69594357,37.98680894
357,Terrasini,Palermo,11 985,"19,85",33,82071,13.08238845,38.15295377
358,Torregrotta,Messina,7 426,"4,13",44,83098,15.35231584,38.19165519
359,Torrenova,Messina,4 240,"12,93",10,83108,14.67733979,38.091126
360,Torretta,Palermo,4 141,"25,54",325,82072,13.23313847,38.1311782
361,Tortorici,Messina,6 732,"70,50",468,83099,14.82486377,38.03054087
362,Trabia,Palermo,10 360,"20,57",50,82073,13.65541386,37.99575625
363,Trapani,Trapani,58 438,"199,44",3,81021,12.51365685,38.01850065
364,Trappeto,Palermo,3 211,"4,19",25,82074,13.03652566,38.06655571
365,Trecastagni,Catania,10 482,"19,16",586,87050,15.07920192,37.61700077
366,Tremestieri Etneo,Catania,21 032,"6,52",400,87051,15.07214434,37.57583588
367,Tripi,Messina,933,"54,67",450,83100,15.09943005,38.04933749
368,Troina,Enna,9 628,"168,28",1 121,86018,14.60044817,37.78501819
369,Tusa,Messina,3 051,"41,07",614,83101,14.23852776,37.98456978
370,Ucria,Messina,1 105,"26,26",710,83102,14.88092158,38.04562699
371,Ustica,Palermo,1 287,"8,24",49,82075,13.19284289,38.71007807
372,Valderice,Trapani,11 951,"52,96",240,81022,12.61749353,38.03794811
373,Valdina,Messina,1 352,"2,60",213,83103,15.3707382,38.19349868
374,Valguarnera Caropepe,Enna,8 182,"9,41",590,86019,14.38816347,37.49667851
375,Valledolmo,Palermo,3 747,"25,78",746,82076,13.82825937,37.74708325
376,Vallelunga Pratameno,Caltanissetta,3 641,"39,37",472,85021,13.83047129,37.68020669
377,Valverde,Catania,7 714,"5,52",305,18170,9.23333357,44.86440068
378,Valverde,Catania,7 714,"5,52",305,87052,15.12482337,37.57900347
379,Venetico,Messina,3 855,"4,52",227,83104,15.36479822,38.21905395
380,Ventimiglia di Sicilia,Palermo,2 080,"26,90",540,82077,13.56791057,37.92614112
381,Viagrande,Catania,8 155,"10,09",410,87053,15.09632891,37.6105856
382,Vicari,Palermo,2 948,"86,01",700,82078,13.57075051,37.82657579
383,Villabate,Palermo,19 819,"3,80",47,82079,13.44209183,38.07564273
384,Villafranca Sicula,Agrigento,1 426,"17,63",330,84043,13.29093513,37.58683326
385,Villafranca Tirrena,Messina,8 748,"14,25",22,83105,15.43249938,38.23545409
386,Villafrati,Palermo,3 377,"25,64",450,82080,13.48672178,37.9080738
387,Villalba,Caltanissetta,1 731,"41,82",620,85022,13.8439328,37.65497687
388,Villarosa,Enna,5 130,"54,89",523,86020,14.17423425,37.5879175
389,Vita,Trapani,2 139,"9,10",480,81023,12.81458875,37.86842619
390,Vittoria,Ragusa,61 006,"182,48",168,88012,14.53800649,36.94878747
391,Vizzini,Catania,6 409,"126,75",586,87054,14.7485177,37.16103188
392,Zafferana Etnea,Catania,9 249,"76,87",574,87055,15.10337582,37.69470869
