Comune,Provincia,Popolazione,Superficie,Altitudine
Gallodoro,Messina,381,"6,91",388
Gangi,Palermo,7 063,"127,47",1 011
Gela,Caltanissetta,75 668,"279,07",46
Geraci Siculo,Palermo,1 925,"113,35",1 077
Giardinello,Palermo,2 258,"12,88",275
Giardini-Naxos,Messina,9 268,"5,29",5
Giarratana,Ragusa,3 143,"43,63",520
Giarre,Catania,28 114,"27,32",81
Gibellina,Trapani,4 264,"46,57",233
Gioiosa Marea,Messina,7 114,"26,48",30
Giuliana,Palermo,2 032,"24,14",710
Godrano,Palermo,1 153,"38,99",698
Grammichele,Catania,13 064,"31,02",520
Graniti,Messina,1 522,"10,05",350
Gratteri,Palermo,1 019,"38,17",657
Gravina di Catania,Catania,26 543,"5,15",355
Grotte,Agrigento,5 839,"23,98",516
Gualtieri Sicaminò,Messina,1 834,"14,38",80
Isnello,Palermo,1 598,"51,00",530
Isola delle Femmine,Palermo,7 100,"3,57",6
Ispica,Ragusa,15 122,"113,75",170
Itala,Messina,1 663,"10,98",210
Joppolo Giancaxio,Agrigento,1 210,"19,14",275
Lampedusa e Linosa,Agrigento,6 105,"25,22",16
Lascari,Palermo,3 500,"10,33",76
Leni,Messina,702,"8,79",202
Lentini,Siracusa,24 484,"216,78",53
Leonforte,Enna,13 878,"84,39",603
Lercara Friddi,Palermo,6 935,"37,43",660
Letojanni,Messina,2 699,"6,72",5
Librizzi,Messina,1 771,"23,39",501
Licata,Agrigento,38 125,"179,68",8
Licodia Eubea,Catania,3 047,"112,45",600
Limina,Messina,900,"9,99",552
Linguaglossa,Catania,5 416,"60,25",550
Lipari,Messina,11 642,"89,72",44
Longi,Messina,1 562,"42,11",616
Lucca Sicula,Agrigento,1 917,"18,63",513
Maletto,Catania,4 015,"40,96",960
Malfa,Messina,988,"8,74",100
Malvagna,Messina,794,"6,71",710
Mandanici,Messina,629,"11,85",417
Maniace,Catania,3 671,"37,70",787
Marianopoli,Caltanissetta,2 006,"13,07",720
Marineo,Palermo,6 779,"33,43",531
Marsala,Trapani,80 218,"243,26",12
Mascali,Catania,13 792,"37,85",28
Mascalucia,Catania,29 984,"16,28",420
Mazara del Vallo,Trapani,49 995,"274,64",8
Mazzarino,Caltanissetta,12 333,"295,59",553
Mazzarrone,Catania,3 989,"34,78",285
Mazzarrà Sant'Andrea,Messina,1 567,"6,69",110
Melilli,Siracusa,13 076,"136,42",310
Menfi,Agrigento,12 711,"113,58",119
Merì,Messina,2 396,"1,85",64
Messina,Messina,243 262,"213,75",3
Mezzojuso,Palermo,3 020,"49,27",568
Milazzo,Messina,32 146,"24,70",1
Milena,Caltanissetta,3 178,"24,63",436
Militello in Val di Catania,Catania,7 807,"62,48",413
Militello Rosmarino,Messina,1 334,"29,54",420
Milo,Catania,1 065,"16,67",720
Mineo,Catania,5 216,"246,32",511
Mirabella Imbaccari,Catania,5 191,"15,30",518
Mirto,Messina,1 000,"9,27",428
Misiliscemi,Trapani,8 669,"72,00",
Misilmeri,Palermo,27 570,"69,49",129
Misterbianco,Catania,47 356,"37,68",213
Mistretta,Messina,5 014,"127,47",900
Modica,Ragusa,53 959,"292,37",296
Mojo Alcantara,Messina,756,"8,60",538
Monforte San Giorgio,Messina,2 880,"32,26",287
Mongiuffi Melia,Messina,653,"24,36",375
Monreale,Palermo,38 018,"530,18",310
Montagnareale,Messina,1 631,"16,38",328
Montalbano Elicona,Messina,2 420,"67,80",920
Montallegro,Agrigento,2 543,"27,41",100
Montedoro,Caltanissetta,1 643,"14,53",450
Montelepre,Palermo,6 421,"9,89",343
Montemaggiore Belsito,Palermo,3 566,"32,08",517
Monterosso Almo,Ragusa,3 183,"56,55",691
Montevago,Agrigento,3 015,"32,91",380
Motta Camastra,Messina,882,"25,31",453
Motta d'Affermo,Messina,828,"14,58",660
Motta Sant'Anastasia,Catania,11 394,"35,71",275
Mussomeli,Caltanissetta,11 010,"164,43",726
Naro,Agrigento,8 103,"207,49",500
Naso,Messina,4 015,"36,74",490
Nicolosi,Catania,7 156,"42,65",700
Nicosia,Enna,14 272,"218,51",724
Niscemi,Caltanissetta,27 975,"96,82",332
Nissoria,Enna,2 969,"61,83",691
Nizza di Sicilia,Messina,3 723,"13,42",9
Noto,Siracusa,23 704,"554,99",152
Novara di Sicilia,Messina,1 413,"49,18",650
Oliveri,Messina,2 157,"10,43",2
Pace del Mela,Messina,6 388,"12,18",114
Paceco,Trapani,11 487,"58,01",36
Pachino,Siracusa,22 068,"50,98",65
Pagliara,Messina,1 230,"14,48",200
Palagonia,Catania,16 540,"57,79",200
Palazzo Adriano,Palermo,2 227,"130,10",696
Palazzolo Acreide,Siracusa,9 091,"87,54",670
Palermo,Palermo,657 651,"160,59",14
Palma di Montechiaro,Agrigento,23 643,"77,06",155
Pantelleria,Trapani,7 493,"84,53",5
Partanna,Trapani,10 854,"82,73",414
Partinico,Palermo,31 401,"108,06",175
Paternò,Catania,47 870,"144,68",225
Patti,Messina,13 325,"50,08",157
Pedara,Catania,12 896,"19,23",610
Petralia Soprana,Palermo,3 443,"56,10",1 147
Petralia Sottana,Palermo,2 975,"178,35",1 000
Petrosino,Trapani,7 760,"45,28",13
Pettineo,Messina,1 433,"30,62",300
Piana degli Albanesi,Palermo,6 010,"64,92",720
Piazza Armerina,Enna,22 196,"304,54",697
Piedimonte Etneo,Catania,4 079,"26,54",348
Pietraperzia,Enna,7 227,"118,11",476
Piraino,Messina,3 964,"16,97",415
Poggioreale,Trapani,1 534,"37,46",189
Polizzi Generosa,Palermo,3 607,"134,66",920
Pollina,Palermo,2 998,"49,93",730
